Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,6.000000,6.360000,5.880000,6.320000,5.792306,335200
2018-12-04,6.320000,6.620000,6.220000,6.260000,5.737317,377200
2018-12-06,6.140000,6.300000,6.050000,6.120000,5.609005,183800
2018-12-07,6.220000,6.300000,6.020000,6.130000,5.618171,261100
2018-12-10,6.100000,6.300000,6.020000,6.150000,5.636500,154900
2018-12-11,6.260000,6.330000,6.130000,6.190000,5.673161,183900
2018-12-12,6.250000,6.410000,6.150000,6.170000,5.654831,139300
2018-12-13,6.180000,6.230000,5.980000,5.990000,5.489860,327700
2018-12-14,5.920000,6.010000,5.690000,5.710000,5.233238,178200
2018-12-17,5.710000,5.750000,5.540000,5.570000,5.104928,384700
2018-12-18,5.600000,5.600000,5.370000,5.410000,4.958287,340600
2018-12-19,5.400000,5.550000,5.170000,5.210000,4.774987,476300
2018-12-20,5.170000,5.330000,4.970000,5.020000,4.600851,245300
2018-12-21,5.010000,5.170000,4.680000,4.680000,4.289239,430300
2018-12-24,4.680000,4.910000,4.610000,4.750000,4.353395,118900
2018-12-26,4.770000,4.950000,4.710000,4.860000,4.454210,148900
2018-12-27,4.820000,4.850000,4.500000,4.590000,4.206754,416100
2018-12-28,4.550000,4.610000,4.220000,4.480000,4.105939,609100
2018-12-31,4.520000,4.710000,4.490000,4.670000,4.280074,231800
2019-01-02,4.590000,4.660000,4.510000,4.640000,4.252579,250200
2019-01-03,4.660000,5.130000,4.610000,4.900000,4.490870,174700
2019-01-04,5.010000,5.160000,4.980000,5.120000,4.692501,145500
2019-01-07,5.170000,5.440000,5.150000,5.310000,4.866637,195500
2019-01-08,5.420000,5.420000,5.260000,5.350000,4.903297,145400
2019-01-09,5.440000,5.440000,5.200000,5.310000,4.866637,113600
2019-01-10,5.100000,5.300000,5.060000,5.160000,4.729161,104400
2019-01-11,5.230000,5.230000,4.920000,5.180000,4.747491,162400
2019-01-14,5.100000,5.150000,4.790000,4.800000,4.399220,129100
2019-01-15,4.760000,4.990000,4.660000,4.690000,4.298404,107400
2019-01-16,4.690000,4.940000,4.680000,4.820000,4.417550,133300
2019-01-17,4.790000,4.950000,4.780000,4.920000,4.509201,124100
2019-01-18,4.920000,5.640000,4.900000,5.500000,5.040773,275700
2019-01-22,5.430000,5.620000,5.310000,5.550000,5.086598,253800
