Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,4.560000,4.650000,4.530000,4.590000,3.017217,668500
2018-12-04,4.580000,4.580000,4.340000,4.360000,2.866028,664500
2018-12-06,4.270000,4.380000,4.140000,4.290000,2.820013,1577300
2018-12-07,4.360000,4.430000,4.300000,4.360000,2.866028,901500
2018-12-10,4.310000,4.370000,4.130000,4.320000,2.839733,1677600
2018-12-11,4.380000,4.430000,4.260000,4.290000,2.820013,1270500
2018-12-12,4.350000,4.440000,4.320000,4.340000,2.852880,394100
2018-12-13,4.340000,4.360000,4.240000,4.300000,2.826587,519200
2018-12-14,4.280000,4.280000,4.030000,4.190000,2.754278,1252200
2018-12-17,4.170000,4.210000,4.020000,4.040000,2.655676,1155100
2018-12-18,4.030000,4.070000,3.920000,4.020000,2.642529,963300
2018-12-19,4.020000,4.140000,4.020000,4.120000,2.708264,1290800
2018-12-20,4.100000,4.120000,3.980000,4.030000,2.649103,935300
2018-12-21,4.020000,4.190000,4.020000,4.090000,2.688544,975300
2018-12-24,4.050000,4.120000,4.000000,4.030000,2.649103,591700
2018-12-26,4.040000,4.220000,3.990000,4.170000,2.741131,773100
2018-12-27,4.100000,4.100000,3.940000,4.070000,2.675397,548600
2018-12-28,4.070000,4.080000,3.860000,3.930000,2.583369,618700
2018-12-31,3.950000,3.990000,3.900000,3.920000,2.576795,408100
2019-01-02,3.990000,4.150000,3.920000,4.050000,2.662249,667900
2019-01-03,4.100000,4.180000,4.030000,4.110000,2.701691,724500
2019-01-04,4.190000,4.340000,4.170000,4.260000,2.800293,1267100
2019-01-07,4.250000,4.390000,4.200000,4.360000,2.866028,898900
2019-01-08,4.410000,4.470000,4.360000,4.410000,2.898894,1006600
2019-01-09,4.500000,4.520000,4.390000,4.430000,2.912041,325000
2019-01-10,4.260000,4.310000,4.110000,4.250000,2.793719,663800
2019-01-11,4.300000,4.300000,4.170000,4.280000,2.813440,517700
2019-01-14,4.260000,4.270000,4.180000,4.240000,2.787146,589400
2019-01-15,4.250000,4.350000,4.250000,4.310000,2.833160,274900
2019-01-16,4.290000,4.470000,4.280000,4.390000,2.885747,566300
2019-01-17,4.300000,4.380000,4.300000,4.360000,2.866028,417500
2019-01-18,4.390000,4.440000,4.350000,4.370000,2.872600,515200
2019-01-22,4.340000,4.390000,4.230000,4.320000,2.839733,913600
2019-01-23,4.330000,4.340000,4.230000,4.320000,2.839733,406400
2019-01-24,4.300000,4.300000,4.230000,4.230000,2.780572,387000
2019-01-25,4.270000,4.300000,4.130000,4.130000,2.714838,1204700
2019-01-28,4.100000,4.100000,4.000000,4.030000,2.649103,715300
2019-01-29,4.030000,4.090000,3.950000,3.990000,2.622809,720800
2019-01-30,4.010000,4.100000,3.990000,4.030000,2.649103,598400
2019-01-31,4.020000,4.110000,3.990000,4.050000,2.662249,663900
2019-02-01,4.060000,4.080000,3.970000,3.990000,2.622809,1602400
2019-02-04,4.030000,4.070000,3.990000,4.060000,2.668823,932500
2019-02-05,4.060000,4.160000,4.030000,4.050000,2.662249,763700
2019-02-06,4.060000,4.100000,3.990000,4.010000,2.635956,1032700
2019-02-07,3.980000,3.980000,3.600000,3.790000,2.491341,1670600
2019-02-08,3.850000,3.940000,3.830000,3.900000,2.563648,1522100
2019-02-11,3.900000,3.940000,3.700000,3.940000,2.589942,1112500
2019-02-12,4.100000,4.200000,4.030000,4.050000,2.662249,1062200
2019-02-13,4.060000,4.120000,3.990000,4.070000,2.675397,905700
2019-02-14,4.050000,4.130000,4.010000,4.060000,2.668823,2264200
2019-02-15,4.090000,4.360000,4.090000,4.240000,2.821898,1581300
2019-02-19,4.200000,4.330000,4.190000,4.200000,2.795276,1010300
