Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,7.350000,7.370000,7.130000,7.190000,4.980396,471900
2018-12-04,7.260000,7.290000,6.900000,6.920000,4.793371,463700
2018-12-06,6.740000,6.860000,6.540000,6.850000,4.744883,590400
2018-12-07,6.950000,7.090000,6.880000,6.910000,4.786444,422300
2018-12-10,6.600000,6.710000,6.540000,6.640000,4.599420,520800
2018-12-11,6.370000,6.490000,6.330000,6.400000,4.433176,620500
2018-12-12,6.680000,6.880000,6.670000,6.780000,4.696396,354700
2018-12-13,6.650000,6.800000,6.650000,6.760000,4.682542,332900
2018-12-14,6.530000,6.780000,6.480000,6.720000,4.654834,926400
2018-12-17,6.360000,6.420000,6.060000,6.100000,4.225370,802900
2018-12-18,6.010000,6.060000,5.940000,5.940000,4.114541,527900
2018-12-19,5.930000,6.060000,5.780000,5.850000,4.052200,428300
2018-12-20,5.590000,5.700000,5.500000,5.510000,3.816687,615200
2018-12-21,5.490000,5.690000,5.490000,5.550000,3.844395,567000
2018-12-24,5.500000,5.650000,5.490000,5.570000,3.858248,188000
2018-12-26,5.600000,5.870000,5.500000,5.850000,4.052200,418200
2018-12-27,5.660000,5.690000,5.440000,5.680000,3.934443,393000
2018-12-28,5.740000,5.740000,5.480000,5.560000,3.851321,381500
2018-12-31,5.600000,5.620000,5.490000,5.530000,3.830541,241500
2019-01-02,5.460000,5.710000,5.430000,5.640000,3.906736,307800
2019-01-03,5.690000,5.840000,5.630000,5.690000,3.941370,283600
2019-01-04,5.760000,6.000000,5.740000,5.950000,4.121468,314200
2019-01-07,5.850000,6.060000,5.810000,6.020000,4.169955,324000
2019-01-08,5.970000,6.170000,5.940000,6.140000,4.253078,444600
2019-01-09,6.360000,6.440000,6.170000,6.240000,4.322346,435600
2019-01-10,5.960000,5.960000,5.770000,5.810000,4.024492,579600
2019-01-11,5.640000,5.650000,5.550000,5.610000,3.885956,468000
2019-01-14,5.480000,5.550000,5.440000,5.480000,3.795907,375300
2019-01-15,5.790000,5.840000,5.620000,5.660000,3.920590,384400
2019-01-16,5.640000,5.670000,5.520000,5.570000,3.858248,237700
2019-01-17,5.600000,5.670000,5.570000,5.610000,3.885956,311200
2019-01-18,5.660000,5.810000,5.660000,5.800000,4.017565,497700
2019-01-22,5.690000,5.760000,5.630000,5.640000,3.906736,252500
2019-01-23,5.630000,5.710000,5.610000,5.650000,3.913663,286000
2019-01-24,5.650000,5.770000,5.580000,5.590000,3.872102,458300
2019-01-25,5.580000,5.600000,5.400000,5.460000,3.782053,415800
2019-01-28,5.300000,5.320000,5.160000,5.210000,3.608882,504100
2019-01-29,5.180000,5.250000,5.120000,5.210000,3.608882,322600
2019-01-30,5.260000,5.390000,5.210000,5.340000,3.698931,253200
2019-01-31,5.220000,5.220000,5.110000,5.150000,3.567321,472100
2019-02-01,5.080000,5.110000,5.000000,5.070000,3.511907,395700
2019-02-04,5.010000,5.120000,5.010000,5.090000,3.525760,251600
2019-02-05,5.190000,5.400000,5.190000,5.330000,3.692004,575100
