Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,19.590000,19.760000,19.129999,19.450001,15.108317,95100
2018-12-04,19.000000,19.400000,18.190001,18.350000,14.253864,180100
2018-12-06,18.250000,18.459999,17.857000,18.450001,14.331541,144800
2018-12-07,18.700001,19.000000,18.299999,18.370001,14.269399,113200
2018-12-10,18.129999,18.240000,17.629999,18.020000,13.997526,86100
2018-12-11,18.350000,18.530001,18.020000,18.150000,14.098507,88300
2018-12-12,18.510000,19.000000,18.350000,18.620001,14.463598,86800
2018-12-13,18.770000,19.440001,18.502001,18.920000,14.696624,151700
2018-12-14,18.660000,18.875000,18.240000,18.340000,14.246096,189600
2018-12-17,18.440001,18.670000,17.670000,17.760000,13.795565,97400
2018-12-18,18.000000,18.145000,16.990000,17.170000,13.337265,116600
2018-12-19,17.180000,17.820000,16.940001,17.110001,13.290659,171300
2018-12-20,17.139999,17.420000,16.780001,16.840000,13.080928,109900
2018-12-21,16.840000,17.400000,16.690001,16.709999,12.979948,258700
2018-12-24,16.510000,17.129999,16.430000,16.740000,13.003251,85200
2018-12-26,16.799999,17.610001,16.780001,17.580000,13.655746,68700
2018-12-27,17.350000,17.350000,16.299999,16.900000,13.127537,147500
2018-12-28,16.969999,17.385000,16.629999,16.790001,13.042093,72000
2018-12-31,16.959999,16.959999,16.500000,16.840000,13.080928,74400
2019-01-02,16.740000,17.775000,16.610001,17.700001,13.748957,116300
2019-01-03,17.730000,18.049999,17.420000,17.790001,13.818869,81500
2019-01-04,18.030001,18.760000,18.030001,18.760000,14.572341,86100
2019-01-07,18.799999,19.379999,18.799999,19.110001,14.844213,94400
2019-01-08,19.379999,19.400000,18.850000,18.969999,14.735465,87000
2019-01-09,19.040001,19.410000,18.365000,18.420000,14.308237,95400
2019-01-10,18.240000,18.299999,17.440001,17.500000,13.593602,129800
2019-01-11,17.330000,17.680000,17.235001,17.530001,13.616905,102500
2019-01-14,17.480000,17.590000,17.205000,17.480000,13.578067,80000
2019-01-15,17.510000,17.785000,17.270000,17.520000,13.609138,30500
2019-01-16,17.570000,17.969999,17.490000,17.840000,13.857705,39500
2019-01-17,17.690001,18.049999,17.684999,17.959999,13.950921,58200
2019-01-18,18.100000,18.490000,17.959999,18.469999,14.347076,76100
2019-01-22,18.240000,18.440001,17.530001,17.670000,13.725656,81600
2019-01-23,17.440001,17.510000,16.900000,16.980000,13.189676,70600
2019-01-24,17.059999,17.110001,16.809999,17.010000,13.212984,92700
2019-01-25,17.190001,17.500000,17.010000,17.440001,13.546995,54200
2019-01-28,17.100000,17.480000,16.934999,17.430000,13.539229,57000
2019-01-29,17.459999,17.530001,17.170000,17.430000,13.539229,50300
2019-01-30,17.530001,17.980000,17.360001,17.889999,13.896544,48600
2019-01-31,17.900000,18.200001,17.837999,18.120001,14.075206,70000
2019-02-01,18.129999,18.170000,17.920000,18.000000,13.981993,52100
2019-02-04,17.980000,18.200001,17.959999,18.160000,14.106276,86000
2019-02-05,18.139999,18.200001,17.410000,17.469999,13.570301,59900
2019-02-06,17.440001,17.480000,17.030001,17.120001,13.298428,48400
2019-02-07,17.030001,17.049999,16.450001,16.520000,12.832360,56000
2019-02-08,16.450001,16.570000,15.980000,16.430000,12.762449,75200
2019-02-11,16.410000,16.500000,16.100000,16.469999,12.793521,107400
2019-02-12,16.559999,17.580000,16.559999,17.510000,13.601370,122700
2019-02-13,17.500000,17.600000,17.010000,17.129999,13.306194,70100
2019-02-14,17.100000,17.379999,17.030001,17.120001,13.298428,93300
2019-02-15,17.230000,17.820000,17.230000,17.709999,13.756725,93200
2019-02-19,17.709999,18.700001,17.665001,18.260000,14.183953,242600
2019-02-20,18.290001,18.299999,17.219999,17.260000,13.407177,118100
2019-02-21,17.260000,17.378000,17.040001,17.330000,13.461553,107900
2019-02-22,17.420000,18.330000,17.320000,18.110001,14.067440,118800
2019-02-25,18.139999,18.290001,17.490000,17.490000,13.585835,74100
2019-02-26,17.510000,17.580000,17.070000,17.219999,13.376103,94400
