Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,3.000000,3.080000,2.950000,3.020000,2.234688,1040400
2018-12-04,3.020000,3.050000,2.830000,2.860000,2.116293,1286700
2018-12-06,2.810000,2.850000,2.610000,2.770000,2.049696,2307000
2018-12-07,2.820000,2.820000,2.710000,2.770000,2.049696,998900
2018-12-10,2.730000,2.790000,2.610000,2.750000,2.034898,1248600
2018-12-11,2.790000,2.840000,2.680000,2.740000,2.027498,831000
2018-12-12,2.740000,2.820000,2.640000,2.670000,1.975700,995600
2018-12-13,2.660000,2.680000,2.500000,2.510000,1.857306,1770900
2018-12-14,2.490000,2.610000,2.490000,2.510000,1.857306,974200
2018-12-17,2.480000,2.540000,2.260000,2.300000,1.701914,2038100
2018-12-18,2.280000,2.300000,2.130000,2.180000,1.613119,1399900
2018-12-19,2.200000,2.330000,2.160000,2.190000,1.620519,1634000
2018-12-20,2.160000,2.230000,1.990000,2.020000,1.494725,2762600
2018-12-21,2.090000,2.160000,2.030000,2.030000,1.502124,1742600
2018-12-24,2.030000,2.140000,2.020000,2.030000,1.502124,850100
2018-12-26,2.040000,2.100000,1.960000,2.090000,1.546522,1659800
2018-12-27,2.050000,2.090000,1.960000,2.040000,1.509524,1552000
2018-12-28,2.050000,2.070000,1.970000,1.990000,1.472526,1624000
2018-12-31,1.980000,2.080000,1.970000,2.000000,1.479926,2173700
2019-01-02,1.980000,2.140000,1.980000,2.110000,1.561321,1194100
2019-01-03,2.080000,2.130000,2.020000,2.050000,1.516924,931400
2019-01-04,2.090000,2.240000,2.090000,2.220000,1.642717,1154000
2019-01-07,2.220000,2.340000,2.200000,2.260000,1.672316,1338600
2019-01-08,2.300000,2.300000,2.180000,2.190000,1.620519,1528300
2019-01-09,2.250000,2.270000,2.130000,2.160000,1.598320,874500
2019-01-10,2.110000,2.130000,2.020000,2.100000,1.553922,773700
2019-01-11,2.100000,2.120000,2.050000,2.090000,1.546522,545200
2019-01-14,2.070000,2.110000,2.010000,2.010000,1.487325,1135600
2019-01-15,2.050000,2.110000,2.020000,2.080000,1.539122,841800
2019-01-16,2.100000,2.180000,2.050000,2.090000,1.546522,1415500
2019-01-17,2.080000,2.150000,2.040000,2.050000,1.516924,1234400
2019-01-18,2.060000,2.180000,2.050000,2.160000,1.598320,2536900
2019-01-22,2.130000,2.180000,2.090000,2.100000,1.553922,1013200
2019-01-23,2.120000,2.150000,2.050000,2.080000,1.539122,865900
2019-01-24,2.080000,2.100000,2.050000,2.070000,1.531723,400100
2019-01-25,2.070000,2.140000,2.070000,2.090000,1.546522,484900
2019-01-28,2.090000,2.110000,2.040000,2.070000,1.531723,974000
2019-01-29,2.070000,2.080000,2.010000,2.030000,1.502124,1288200
2019-01-30,2.040000,2.080000,2.010000,2.050000,1.516924,1151300
2019-01-31,2.070000,2.130000,2.050000,2.050000,1.516924,1262100
2019-02-01,2.060000,2.080000,2.010000,2.010000,1.487325,1247200
