Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,21.400000,21.700001,20.400000,20.600000,18.487772,705870
2018-12-04,20.600000,20.900000,20.000000,20.200001,18.217218,539920
2018-12-06,20.400000,20.600000,18.500000,19.799999,17.856480,659940
2018-12-07,20.100000,20.700001,19.799999,20.400000,18.397589,856930
2018-12-10,20.400000,20.900000,19.600000,20.500000,18.487770,1160040
2018-12-11,21.000000,21.900000,19.700001,20.200001,18.217218,1083720
2018-12-12,20.299999,21.500000,19.900000,21.200001,19.119062,667140
2018-12-13,21.400000,22.000000,19.600000,19.900000,17.946665,818120
2018-12-14,19.900000,20.400000,18.600000,18.900000,17.044823,742990
2018-12-17,18.900000,19.200001,17.100000,17.299999,15.601878,853180
2018-12-18,17.299999,18.000000,16.299999,16.600000,14.970587,888410
2018-12-19,16.799999,17.700001,16.400000,16.600000,14.970587,855300
2018-12-20,16.500000,17.200001,15.600000,15.800000,14.249113,771570
2018-12-21,15.800000,17.299999,15.800000,16.700001,15.060772,2455820
2018-12-24,16.299999,17.799999,16.299999,17.600000,15.872429,512970
2018-12-26,17.700001,18.600000,16.600000,18.500000,16.684086,479520
2018-12-27,18.100000,18.799999,17.200001,18.500000,16.684086,569060
2018-12-28,18.500000,19.100000,18.000000,18.299999,16.503717,507640
2018-12-31,18.299999,18.500000,17.000000,17.600000,15.872429,354210
2019-01-02,17.100000,19.500000,17.000000,18.700001,16.864458,444890
2019-01-03,18.799999,19.900000,18.600000,19.299999,17.405560,654050
2019-01-04,19.600000,20.400000,19.299999,20.000000,18.036854,790400
2019-01-07,19.900000,20.700001,19.600000,20.400000,18.397589,646370
2019-01-08,20.400000,20.799999,20.000000,20.400000,18.397589,710500
2019-01-09,20.500000,20.700001,19.700001,20.200001,18.217218,467250
2019-01-10,20.000000,20.500000,19.600000,20.100000,18.127033,513750
2019-01-11,19.900000,20.299999,19.700001,19.799999,17.856480,298490
2019-01-14,19.799999,19.900000,18.799999,19.400000,17.495745,373310
2019-01-15,19.500000,20.000000,19.299999,19.900000,17.946665,270980
2019-01-16,19.400000,19.900000,19.200001,19.200001,17.315376,290330
2019-01-17,19.200001,20.100000,19.200001,19.799999,17.856480,467530
2019-01-18,19.610001,21.290001,19.610001,21.049999,18.983782,1550900
2019-01-22,20.670000,20.940001,19.750000,20.030001,18.063906,1451300
2019-01-23,20.020000,20.450001,19.590000,19.879999,17.928629,1009800
2019-01-24,19.820000,20.430000,19.549999,20.200001,18.217218,525800
2019-01-25,20.430000,20.570000,19.940001,20.430000,18.424643,619300
2019-01-28,20.160000,20.530001,19.870001,20.309999,18.316423,864100
